thresh,arm,a,b,n,v_shift,na,nb
n>=400,shuf,20,26,1213,-0.1266567220158785,age related sexual interests pmk,sadomasochism zh c k
n>=400,shuf,20,29,1911,0.08410370417198959,age related sexual interests pmk,your appearance based sexual interests qqg a
n>=400,shuf,26,29,2798,0.004520950983668016,sadomasochism zh c k,your appearance based sexual interests qqg a
n>=400,plant0,1,4,3482,-0.033578305926453576,specific body parts not including standard sexual body parts like breasts or genitals x a w,eagerness related sexual interests twg prj
n>=400,plant0,1,13,1104,-0.10426252496514614,specific body parts not including standard sexual body parts like breasts or genitals x a w,your preferred object objects vnq jt
n>=400,plant0,1,14,2092,0.019805681186219184,specific body parts not including standard sexual body parts like breasts or genitals x a w,specific roles ce t
n>=400,plant0,1,16,1152,-0.05644847945609874,specific body parts not including standard sexual body parts like breasts or genitals x a w,sensory related sexual interests yg rwaa
n>=400,plant0,1,17,2774,-0.08351944039425016,specific body parts not including standard sexual body parts like breasts or genitals x a w,scenarios involving sex toys iob ewb
n>=400,plant0,1,18,608,0.14813608503345208,specific body parts not including standard sexual body parts like breasts or genitals x a w,transformation related sexual interests ju swdc
n>=400,plant0,1,20,1391,0.06636773861553813,specific body parts not including standard sexual body parts like breasts or genitals x a w,age related sexual interests pmk
n>=400,plant0,1,26,1814,0.03344786574177922,specific body parts not including standard sexual body parts like breasts or genitals x a w,sadomasochism zh c k
n>=400,plant0,1,29,3151,0.08611253013375317,specific body parts not including standard sexual body parts like breasts or genitals x a w,your appearance based sexual interests qqg a
n>=400,plant0,3,6,1343,-0.009853718123358295,clothing related sexual interests kl pc,genderplay related sexual interests yixh c
n>=400,plant0,3,8,2822,-0.0032134341415177917,clothing related sexual interests kl pc,gentleness related sexual interests j jn rl
n>=400,plant0,3,9,1052,0.14926708288347906,clothing related sexual interests kl pc,incest f vg x
n>=400,plant0,3,10,2127,0.09809968570362429,clothing related sexual interests kl pc,nonconsent bx o o
n>=400,plant0,3,12,1373,-0.07423871940437883,clothing related sexual interests kl pc,mythical creatures xfj rdq
n>=400,plant0,3,15,1377,0.1452706108341918,clothing related sexual interests kl pc,pregnancy related sexual interests c yvk
n>=400,plant0,3,22,1427,-0.028580438227301892,clothing related sexual interests kl pc,humiliation related sexual interests jebtk s
n>=400,plant0,4,13,1499,0.09246523878264276,eagerness related sexual interests twg prj,your preferred object objects vnq jt
n>=400,plant0,4,14,3107,0.05661239608149218,eagerness related sexual interests twg prj,specific roles ce t
n>=400,plant0,4,16,1444,0.0687448678401962,eagerness related sexual interests twg prj,sensory related sexual interests yg rwaa
n>=400,plant0,4,17,4035,-0.0003002666577673849,eagerness related sexual interests twg prj,scenarios involving sex toys iob ewb
n>=400,plant0,4,20,2201,-0.006301834213796851,eagerness related sexual interests twg prj,age related sexual interests pmk
n>=400,plant0,4,26,2435,0.14186059865434583,eagerness related sexual interests twg prj,sadomasochism zh c k
n>=400,plant0,4,29,5414,-0.21500084601937341,eagerness related sexual interests twg prj,your appearance based sexual interests qqg a
n>=400,plant0,6,8,1001,0.20127876372549408,genderplay related sexual interests yixh c,gentleness related sexual interests j jn rl
n>=400,plant0,6,9,637,0.11262947610886453,genderplay related sexual interests yixh c,incest f vg x
n>=400,plant0,6,10,832,0.061428608424646,genderplay related sexual interests yixh c,nonconsent bx o o
n>=400,plant0,6,12,831,0.05212912783756203,genderplay related sexual interests yixh c,mythical creatures xfj rdq
n>=400,plant0,6,15,621,0.05312784312610767,genderplay related sexual interests yixh c,pregnancy related sexual interests c yvk
n>=400,plant0,6,22,618,0.054320160994439926,genderplay related sexual interests yixh c,humiliation related sexual interests jebtk s
n>=400,plant0,8,9,864,0.2194092352468321,gentleness related sexual interests j jn rl,incest f vg x
n>=400,plant0,8,10,1914,0.011139287055090753,gentleness related sexual interests j jn rl,nonconsent bx o o
n>=400,plant0,8,12,1551,-0.05369957498161278,gentleness related sexual interests j jn rl,mythical creatures xfj rdq
n>=400,plant0,8,15,1275,-0.10539115832574378,gentleness related sexual interests j jn rl,pregnancy related sexual interests c yvk
n>=400,plant0,8,22,1122,0.0855930022206709,gentleness related sexual interests j jn rl,humiliation related sexual interests jebtk s
n>=400,plant0,9,10,976,0.09289999833037899,incest f vg x,nonconsent bx o o
n>=400,plant0,9,12,702,0.1011607093007005,incest f vg x,mythical creatures xfj rdq
n>=400,plant0,9,15,674,-0.036307769607102636,incest f vg x,pregnancy related sexual interests c yvk
n>=400,plant0,9,22,587,0.12366726176518716,incest f vg x,humiliation related sexual interests jebtk s
n>=400,plant0,10,12,1240,0.13301373452641005,nonconsent bx o o,mythical creatures xfj rdq
n>=400,plant0,10,15,1006,0.23074020880010648,nonconsent bx o o,pregnancy related sexual interests c yvk
n>=400,plant0,10,22,1142,0.24356195614466136,nonconsent bx o o,humiliation related sexual interests jebtk s
n>=400,plant0,12,15,874,0.0024983425298052324,mythical creatures xfj rdq,pregnancy related sexual interests c yvk
n>=400,plant0,12,22,708,0.056563334039955955,mythical creatures xfj rdq,humiliation related sexual interests jebtk s
n>=400,plant0,13,14,936,0.0278062918759587,your preferred object objects vnq jt,specific roles ce t
n>=400,plant0,13,16,590,-0.047957500001413494,your preferred object objects vnq jt,sensory related sexual interests yg rwaa
n>=400,plant0,13,17,1354,-0.09923062513737373,your preferred object objects vnq jt,scenarios involving sex toys iob ewb
n>=400,plant0,13,20,849,-0.1450878371673646,your preferred object objects vnq jt,age related sexual interests pmk
n>=400,plant0,13,26,949,0.015377818119026018,your preferred object objects vnq jt,sadomasochism zh c k
n>=400,plant0,13,29,1655,0.01199985709493164,your preferred object objects vnq jt,your appearance based sexual interests qqg a
n>=400,plant0,14,16,914,0.16845123288095934,specific roles ce t,sensory related sexual interests yg rwaa
n>=400,plant0,14,17,2308,0.06691664662289262,specific roles ce t,scenarios involving sex toys iob ewb
n>=400,plant0,14,18,677,-0.05391844410013985,specific roles ce t,transformation related sexual interests ju swdc
n>=400,plant0,14,20,1626,-0.09193208053668876,specific roles ce t,age related sexual interests pmk
n>=400,plant0,14,26,1441,-0.09059774888139688,specific roles ce t,sadomasochism zh c k
n>=400,plant0,14,29,3188,0.154467099941758,specific roles ce t,your appearance based sexual interests qqg a
n>=400,plant0,15,22,653,0.08807941693601937,pregnancy related sexual interests c yvk,humiliation related sexual interests jebtk s
n>=400,plant0,16,17,1294,-0.06676200617434674,sensory related sexual interests yg rwaa,scenarios involving sex toys iob ewb
n>=400,plant0,16,20,714,0.07008973855280794,sensory related sexual interests yg rwaa,age related sexual interests pmk
n>=400,plant0,16,26,808,0.02278359841964519,sensory related sexual interests yg rwaa,sadomasochism zh c k
n>=400,plant0,16,29,1611,-0.04874359788974042,sensory related sexual interests yg rwaa,your appearance based sexual interests qqg a
n>=400,plant0,17,18,735,0.0036571943221701394,scenarios involving sex toys iob ewb,transformation related sexual interests ju swdc
n>=400,plant0,17,20,1818,0.01923023046783191,scenarios involving sex toys iob ewb,age related sexual interests pmk
n>=400,plant0,17,26,2032,0.02452339483691359,scenarios involving sex toys iob ewb,sadomasochism zh c k
n>=400,plant0,17,29,4415,0.007583067016910993,scenarios involving sex toys iob ewb,your appearance based sexual interests qqg a
n>=400,plant0,18,29,856,0.02595488837084769,transformation related sexual interests ju swdc,your appearance based sexual interests qqg a
n>=400,plant0,20,26,1213,0.030625711658129974,age related sexual interests pmk,sadomasochism zh c k
n>=400,plant0,20,29,1911,0.06742683403484394,age related sexual interests pmk,your appearance based sexual interests qqg a
n>=400,plant0,26,29,2798,0.015219026257866409,sadomasochism zh c k,your appearance based sexual interests qqg a
n>=400,plant05,1,4,3482,0.016421694073546437,specific body parts not including standard sexual body parts like breasts or genitals x a w,eagerness related sexual interests twg prj
n>=400,plant05,1,13,1104,-0.05426252496514612,specific body parts not including standard sexual body parts like breasts or genitals x a w,your preferred object objects vnq jt
n>=400,plant05,1,14,2092,0.0698056811862192,specific body parts not including standard sexual body parts like breasts or genitals x a w,specific roles ce t
n>=400,plant05,1,16,1152,-0.006448479456098721,specific body parts not including standard sexual body parts like breasts or genitals x a w,sensory related sexual interests yg rwaa
n>=400,plant05,1,17,2774,-0.03351944039425016,specific body parts not including standard sexual body parts like breasts or genitals x a w,scenarios involving sex toys iob ewb
n>=400,plant05,1,18,608,0.1981360850334521,specific body parts not including standard sexual body parts like breasts or genitals x a w,transformation related sexual interests ju swdc
n>=400,plant05,1,20,1391,0.11636773861553815,specific body parts not including standard sexual body parts like breasts or genitals x a w,age related sexual interests pmk
n>=400,plant05,1,26,1814,0.08344786574177923,specific body parts not including standard sexual body parts like breasts or genitals x a w,sadomasochism zh c k
n>=400,plant05,1,29,3151,0.13611253013375316,specific body parts not including standard sexual body parts like breasts or genitals x a w,your appearance based sexual interests qqg a
n>=400,plant05,3,6,1343,0.04014628187664172,clothing related sexual interests kl pc,genderplay related sexual interests yixh c
n>=400,plant05,3,8,2822,0.04678656585848221,clothing related sexual interests kl pc,gentleness related sexual interests j jn rl
n>=400,plant05,3,9,1052,0.1992670828834791,clothing related sexual interests kl pc,incest f vg x
n>=400,plant05,3,10,2127,0.1480996857036243,clothing related sexual interests kl pc,nonconsent bx o o
n>=400,plant05,3,12,1373,-0.024238719404378835,clothing related sexual interests kl pc,mythical creatures xfj rdq
n>=400,plant05,3,15,1377,0.19527061083419184,clothing related sexual interests kl pc,pregnancy related sexual interests c yvk
n>=400,plant05,3,22,1427,0.021419561772698128,clothing related sexual interests kl pc,humiliation related sexual interests jebtk s
n>=400,plant05,4,13,1499,0.14246523878264278,eagerness related sexual interests twg prj,your preferred object objects vnq jt
n>=400,plant05,4,14,3107,0.1066123960814922,eagerness related sexual interests twg prj,specific roles ce t
n>=400,plant05,4,16,1444,0.11874486784019622,eagerness related sexual interests twg prj,sensory related sexual interests yg rwaa
n>=400,plant05,4,17,4035,0.04969973334223263,eagerness related sexual interests twg prj,scenarios involving sex toys iob ewb
n>=400,plant05,4,20,2201,0.043698165786203176,eagerness related sexual interests twg prj,age related sexual interests pmk
n>=400,plant05,4,26,2435,0.19186059865434585,eagerness related sexual interests twg prj,sadomasochism zh c k
n>=400,plant05,4,29,5414,-0.1650008460193734,eagerness related sexual interests twg prj,your appearance based sexual interests qqg a
n>=400,plant05,6,8,1001,0.2512787637254942,genderplay related sexual interests yixh c,gentleness related sexual interests j jn rl
n>=400,plant05,6,9,637,0.16262947610886452,genderplay related sexual interests yixh c,incest f vg x
n>=400,plant05,6,10,832,0.11142860842464604,genderplay related sexual interests yixh c,nonconsent bx o o
n>=400,plant05,6,12,831,0.10212912783756206,genderplay related sexual interests yixh c,mythical creatures xfj rdq
n>=400,plant05,6,15,621,0.10312784312610768,genderplay related sexual interests yixh c,pregnancy related sexual interests c yvk
n>=400,plant05,6,22,618,0.10432016099443994,genderplay related sexual interests yixh c,humiliation related sexual interests jebtk s
n>=400,plant05,8,9,864,0.2694092352468321,gentleness related sexual interests j jn rl,incest f vg x
n>=400,plant05,8,10,1914,0.06113928705509077,gentleness related sexual interests j jn rl,nonconsent bx o o
n>=400,plant05,8,12,1551,-0.003699574981612757,gentleness related sexual interests j jn rl,mythical creatures xfj rdq
n>=400,plant05,8,15,1275,-0.05539115832574376,gentleness related sexual interests j jn rl,pregnancy related sexual interests c yvk
n>=400,plant05,8,22,1122,0.13559300222067092,gentleness related sexual interests j jn rl,humiliation related sexual interests jebtk s
n>=400,plant05,9,10,976,0.14289999833037903,incest f vg x,nonconsent bx o o
n>=400,plant05,9,12,702,0.15116070930070052,incest f vg x,mythical creatures xfj rdq
n>=400,plant05,9,15,674,0.013692230392897374,incest f vg x,pregnancy related sexual interests c yvk
n>=400,plant05,9,22,587,0.17366726176518718,incest f vg x,humiliation related sexual interests jebtk s
n>=400,plant05,10,12,1240,0.18301373452641004,nonconsent bx o o,mythical creatures xfj rdq
n>=400,plant05,10,15,1006,0.28074020880010647,nonconsent bx o o,pregnancy related sexual interests c yvk
n>=400,plant05,10,22,1142,0.29356195614466135,nonconsent bx o o,humiliation related sexual interests jebtk s
n>=400,plant05,12,15,874,0.05249834252980525,mythical creatures xfj rdq,pregnancy related sexual interests c yvk
n>=400,plant05,12,22,708,0.10656333403995596,mythical creatures xfj rdq,humiliation related sexual interests jebtk s
n>=400,plant05,13,14,936,0.07780629187595871,your preferred object objects vnq jt,specific roles ce t
n>=400,plant05,13,16,590,0.0020424999985865153,your preferred object objects vnq jt,sensory related sexual interests yg rwaa
n>=400,plant05,13,17,1354,-0.049230625137373696,your preferred object objects vnq jt,scenarios involving sex toys iob ewb
n>=400,plant05,13,20,849,-0.09508783716736458,your preferred object objects vnq jt,age related sexual interests pmk
n>=400,plant05,13,26,949,0.06537781811902602,your preferred object objects vnq jt,sadomasochism zh c k
n>=400,plant05,13,29,1655,0.06199985709493166,your preferred object objects vnq jt,your appearance based sexual interests qqg a
n>=400,plant05,14,16,914,0.21845123288095936,specific roles ce t,sensory related sexual interests yg rwaa
n>=400,plant05,14,17,2308,0.11691664662289265,specific roles ce t,scenarios involving sex toys iob ewb
n>=400,plant05,14,18,677,-0.003918444100139841,specific roles ce t,transformation related sexual interests ju swdc
n>=400,plant05,14,20,1626,-0.04193208053668873,specific roles ce t,age related sexual interests pmk
n>=400,plant05,14,26,1441,-0.04059774888139686,specific roles ce t,sadomasochism zh c k
n>=400,plant05,14,29,3188,0.204467099941758,specific roles ce t,your appearance based sexual interests qqg a
n>=400,plant05,15,22,653,0.13807941693601938,pregnancy related sexual interests c yvk,humiliation related sexual interests jebtk s
n>=400,plant05,16,17,1294,-0.01676200617434674,sensory related sexual interests yg rwaa,scenarios involving sex toys iob ewb
n>=400,plant05,16,20,714,0.12008973855280791,sensory related sexual interests yg rwaa,age related sexual interests pmk
n>=400,plant05,16,26,808,0.07278359841964521,sensory related sexual interests yg rwaa,sadomasochism zh c k
