v_page,v_val,v_kind,v_win
README_zh.md,+0.2219,已核,100
README_zh.md,77.1%,已核,100
README_zh.md,+0.3406,可核而未核,100
README_zh.md,−0.0287,可核而未核,100
README_zh.md,−0.0327,可核而未核,100
README_zh.md,−0.0287,可核而未核,100
README_zh.md,−0.0148,可核而未核,100
README_zh.md,0.987,可核而未核,100
README_zh.md,+0.1477,孤立,100
README_zh.md,+0.1715,孤立,100
README_zh.md,1.21%,孤立,100
README_zh.md,0.67,孤立,100
README_zh.md,0.994,可核而未核,100
README_zh.md,102%,孤立,100
README_zh.md,−0%,可核而未核,100
README_zh.md,+0.986,可核而未核,100
README_zh.md,67%,可核而未核,100
README_zh.md,+0.26,可核而未核,100
README_zh.md,+0.60,可核而未核,100
README_zh.md,4.5%,可核而未核,100
README_zh.md,+0.5631,孤立,100
README_zh.md,+0.1286,孤立,100
README_zh.md,+0.2036,孤立,100
README_zh.md,+0.1512,可核而未核,100
README_zh.md,2,可核而未核,100
README_zh.md,0.57,可核而未核,100
README_zh.md,0.83,可核而未核,100
README_zh.md,−0.1175,孤立,100
README_zh.md,2.8%,孤立,100
README_zh.md,−0.0589,孤立,100
README_zh.md,+0.1012,可核而未核,100
README_zh.md,+0.1601,可核而未核,100
README_zh.md,+0.0015,可核而未核,100
README_zh.md,+0.1692,可核而未核,100
README_zh.md,+0.1185,孤立,100
README_zh.md,−0.0522,孤立,100
README_zh.md,−0.0494,孤立,100
README_zh.md,+0.1255,可核而未核,100
README_zh.md,0.9083,可核而未核,100
README_zh.md,0.3423,可核而未核,100
README_zh.md,−0.0328,可核而未核,100
README_zh.md,4%,可核而未核,100
README_zh.md,+0.0674,孤立,100
README_zh.md,0.105,孤立,100
README_zh.md,−0.0910,孤立,100
README_zh.md,+0.0370,孤立,100
README_zh.md,0.054,孤立,100
README_zh.md,6%,孤立,100
README_zh.md,+1.018,孤立,100
README_zh.md,+0.2922,孤立,100
README_zh.md,+0.2523,孤立,100
README_zh.md,58%,孤立,100
README_zh.md,0.145,可核而未核,100
README_zh.md,0.029,可核而未核,100
README_zh.md,0.95,可核而未核,100
README_zh.md,+0.942,可核而未核,100
README_zh.md,+0.127,可核而未核,100
README_zh.md,−0.294,可核而未核,100
README_zh.md,0.727,孤立,100
README_zh.md,0.999,孤立,100
README_zh.md,+1.018,孤立,100
README_zh.md,+0.064,孤立,100
README_zh.md,0.966,可核而未核,100
README_zh.md,−0.169,可核而未核,100
README_zh.md,+0.599,可核而未核,100
README_zh.md,24.2%,孤立,100
README_zh.md,0.0439,孤立,100
README_zh.md,6.4%,孤立,100
README_zh.md,+0.0606,孤立,100
README_zh.md,+0.0206,孤立,100
README_zh.md,+0.0289,孤立,100
README_zh.md,+0.0006,孤立,100
README_zh.md,71%,孤立,100
README.md,2.8%,可核而未核,200
README.md,0.14%,可核而未核,200
README.md,49%,可核而未核,200
README.md,0.869%,孤立,200
README.md,+0.609,孤立,200
README.md,+0.892,孤立,200
README.md,+0.432,孤立,200
README.md,+0.1185,孤立,200
README.md,+0.6785,孤立,200
README.md,+0.7826,可核而未核,200
README.md,+0.4290,可核而未核,200
README.md,+0.6429,孤立,200
README.md,+0.5778,孤立,200
README.md,+0.5631,孤立,200
README.md,−0.1086,孤立,200
README.md,+0.1286,孤立,200
README.md,20,孤立,200
README.md,59.6%,可核而未核,200
README.md,18.9%,可核而未核,200
README.md,28.9%,可核而未核,200
README.md,37.1%,可核而未核,200
README.md,28.2%,孤立,200
README.md,−0.00042,已核,200
README.md,+0.5316,孤立,200
README.md,+0.3382,孤立,200
README.md,+0.0454,可核而未核,200
README.md,−0.1229,孤立,200
README.md,+0.9039,可核而未核,200
README.md,−0.2270,孤立,200
README.md,84.3%,孤立,200
README.md,−18.5%,孤立,200
README.md,0.139,可核而未核,200
README.md,0.383,孤立,200
README.md,0.700,孤立,200
README.md,0.718,孤立,200
README.md,1.077,孤立,200
README.md,1.034,可核而未核,200
README.md,−0.0150,可核而未核,200
README.md,+0.1502,可核而未核,200
README.md,10%,可核而未核,200
README.md,54.8%,可核而未核,200
README.md,+0.975,孤立,200
README.md,+0.1169,可核而未核,200
README.md,−0.1024,孤立,200
README.md,−0.0810,孤立,200
README.md,0.924,可核而未核,200
README.md,−0.1065,可核而未核,200
README.md,−0.0684,可核而未核,200
README.md,+0.2219,已核,200
README.md,77.1%,已核,200
README.md,+0.3406,可核而未核,200
README.md,−0.0287,可核而未核,200
README.md,−0.0327,可核而未核,200
README.md,−0.0287,可核而未核,200
README.md,−0.0148,可核而未核,200
README.md,48.4%,可核而未核,200
README.md,2,孤立,200
README.md,0.7695,可核而未核,200
README.md,+0.6667,可核而未核,200
README.md,+0.0797,孤立,200
README.md,0.380,已核,200
README.md,+0.2345,已核,200
README.md,+0.1293,可核而未核,200
README.md,+0.0791,可核而未核,200
README.md,+0.0168,孤立,200
README.md,+0.0985,可核而未核,200
README.md,+0.0515,可核而未核,200
README.md,−0.061,可核而未核,200
README.md,−0.267,可核而未核,200
README.md,+0.1477,孤立,200
README.md,+0.1715,孤立,200
README.md,1.21%,孤立,200
README.md,0.67,孤立,200
README.md,0.994,孤立,200
README.md,102%,孤立,200
README.md,−0%,可核而未核,200
README.md,+0.986,可核而未核,200
README.md,67%,可核而未核,200
README.md,+0.26,可核而未核,200
README.md,+0.60,孤立,200
README.md,4.5%,可核而未核,200
README.md,+0.5631,孤立,200
README.md,+0.2036,孤立,200
README.md,+0.1512,可核而未核,200
README.md,0.57,可核而未核,200
README.md,0.83,可核而未核,200
README.md,2.8%,孤立,200
README.md,−0.0589,孤立,200
README.md,+0.1012,孤立,200
README.md,+0.1601,可核而未核,200
README.md,+0.0015,可核而未核,200
README.md,+0.1692,可核而未核,200
README.md,+0.1185,孤立,200
README.md,−0.0522,孤立,200
README.md,−0.0494,孤立,200
README.md,+0.1255,孤立,200
README.md,0.9083,可核而未核,200
README.md,0.3423,可核而未核,200
README.md,−0.0328,可核而未核,200
README.md,4%,可核而未核,200
README.md,+0.0674,孤立,200
README.md,0.105,孤立,200
README.md,−0.0910,孤立,200
README.md,+0.0370,孤立,200
README.md,0.054,可核而未核,200
README.md,+1.018,孤立,200
README.md,+0.2922,可核而未核,200
README.md,+0.2523,可核而未核,200
README.md,58%,可核而未核,200
README.md,0.145,可核而未核,200
README.md,0.029,可核而未核,200
README.md,0.95,可核而未核,200
README.md,+0.942,可核而未核,200
README.md,+0.127,可核而未核,200
README.md,−0.294,可核而未核,200
README.md,0.727,孤立,200
README.md,0.999,可核而未核,200
README.md,+1.018,孤立,200
README.md,+0.599,可核而未核,200
README.md,+0.064,孤立,200
README.md,0.966,可核而未核,200
README.md,−0.169,可核而未核,200
README.md,0.88%,孤立,200
README.md,24.2%,孤立,200
README.md,0.0439,孤立,200
README.md,6.4%,可核而未核,200
README.md,+0.0606,可核而未核,200
README.md,+0.0206,孤立,200
README.md,+0.0289,孤立,200
README.md,+0.0006,孤立,200
README_zh.md,0.14%,可核而未核,200
README_zh.md,49%,可核而未核,200
README_zh.md,0.869%,孤立,200
README_zh.md,+0.609,孤立,200
README_zh.md,+0.892,孤立,200
README_zh.md,+0.432,可核而未核,200
README_zh.md,+0.1185,可核而未核,200
README_zh.md,+0.6785,可核而未核,200
README_zh.md,+0.7826,可核而未核,200
README_zh.md,+0.4290,可核而未核,200
README_zh.md,+0.6429,可核而未核,200
README_zh.md,+0.5778,孤立,200
README_zh.md,+0.5631,孤立,200
README_zh.md,−0.1086,孤立,200
README_zh.md,+0.1286,孤立,200
README_zh.md,20,孤立,200
README_zh.md,59.6%,可核而未核,200
README_zh.md,28.9%,可核而未核,200
README_zh.md,37.1%,可核而未核,200
README_zh.md,28.2%,可核而未核,200
README_zh.md,−0.00042,已核,200
README_zh.md,+0.5316,孤立,200
README_zh.md,+0.3382,可核而未核,200
README_zh.md,+0.0454,可核而未核,200
README_zh.md,+0.0797,孤立,200
README_zh.md,0.380,已核,200
README_zh.md,+0.2345,已核,200
README_zh.md,+0.1293,可核而未核,200
README_zh.md,+0.0791,可核而未核,200
README_zh.md,+0.0168,可核而未核,200
README_zh.md,+0.0985,可核而未核,200
README_zh.md,+0.0515,可核而未核,200
README_zh.md,−0.061,可核而未核,200
README_zh.md,−0.267,可核而未核,200
README_zh.md,0.7695,可核而未核,200
README_zh.md,+0.6667,可核而未核,200
README_zh.md,−0.1229,可核而未核,200
README_zh.md,+0.9039,可核而未核,200
README_zh.md,−0.2270,可核而未核,200
README_zh.md,84.3%,孤立,200
README_zh.md,−18.5%,孤立,200
README_zh.md,0.139,可核而未核,200
README_zh.md,0.383,可核而未核,200
README_zh.md,0.700,可核而未核,200
README_zh.md,0.718,可核而未核,200
README_zh.md,1.077,可核而未核,200
README_zh.md,1.034,可核而未核,200
README_zh.md,−0.0150,可核而未核,200
README_zh.md,+0.1502,可核而未核,200
README_zh.md,10%,可核而未核,200
README_zh.md,54.8%,可核而未核,200
README_zh.md,+0.975,可核而未核,200
README_zh.md,+0.1169,可核而未核,200
README_zh.md,−0.1024,可核而未核,200
README_zh.md,−0.0810,可核而未核,200
README_zh.md,0.924,可核而未核,200
README_zh.md,−0.1065,可核而未核,200
README_zh.md,−0.0684,可核而未核,200
README_zh.md,+0.2219,已核,200
README_zh.md,77.1%,已核,200
README_zh.md,+0.3406,可核而未核,200
README_zh.md,−0.0287,可核而未核,200
README_zh.md,−0.0327,可核而未核,200
README_zh.md,−0.0287,可核而未核,200
README_zh.md,−0.0148,可核而未核,200
README_zh.md,0.987,可核而未核,200
README_zh.md,+0.1477,可核而未核,200
README_zh.md,+0.1715,可核而未核,200
README_zh.md,1.21%,孤立,200
README_zh.md,0.67,孤立,200
README_zh.md,0.994,可核而未核,200
README_zh.md,102%,可核而未核,200
README_zh.md,−0%,可核而未核,200
README_zh.md,+0.986,可核而未核,200
README_zh.md,67%,可核而未核,200
README_zh.md,+0.26,可核而未核,200
README_zh.md,+0.60,可核而未核,200
README_zh.md,4.5%,可核而未核,200
README_zh.md,+0.5631,可核而未核,200
README_zh.md,+0.1286,可核而未核,200
README_zh.md,+0.2036,孤立,200
README_zh.md,+0.1512,可核而未核,200
README_zh.md,2,可核而未核,200
README_zh.md,0.57,可核而未核,200
README_zh.md,0.83,可核而未核,200
README_zh.md,−0.1175,可核而未核,200
README_zh.md,2.8%,可核而未核,200
README_zh.md,−0.0589,可核而未核,200
README_zh.md,+0.1012,可核而未核,200
README_zh.md,+0.1601,可核而未核,200
README_zh.md,+0.0015,可核而未核,200
README_zh.md,+0.1692,可核而未核,200
README_zh.md,+0.1185,孤立,200
README_zh.md,−0.0522,可核而未核,200
README_zh.md,−0.0494,可核而未核,200
README_zh.md,+0.1255,可核而未核,200
README_zh.md,0.9083,可核而未核,200
README_zh.md,0.3423,可核而未核,200
README_zh.md,−0.0328,可核而未核,200
README_zh.md,4%,可核而未核,200
README_zh.md,+0.0674,可核而未核,200
README_zh.md,0.105,可核而未核,200
README_zh.md,−0.0910,可核而未核,200
README_zh.md,+0.0370,可核而未核,200
README_zh.md,0.054,可核而未核,200
README_zh.md,6%,孤立,200
README_zh.md,+1.018,孤立,200
README_zh.md,+0.2922,孤立,200
README_zh.md,+0.2523,孤立,200
README_zh.md,58%,可核而未核,200
README_zh.md,0.145,可核而未核,200
README_zh.md,0.029,可核而未核,200
README_zh.md,0.95,可核而未核,200
README_zh.md,+0.942,可核而未核,200
README_zh.md,+0.127,可核而未核,200
README_zh.md,−0.294,可核而未核,200
README_zh.md,0.727,可核而未核,200
README_zh.md,0.999,可核而未核,200
README_zh.md,+1.018,可核而未核,200
README_zh.md,+0.064,可核而未核,200
README_zh.md,0.966,可核而未核,200
README_zh.md,−0.169,可核而未核,200
README_zh.md,+0.599,可核而未核,200
README_zh.md,24.2%,孤立,200
README_zh.md,0.0439,可核而未核,200
README_zh.md,6.4%,孤立,200
README_zh.md,+0.0606,可核而未核,200
README_zh.md,+0.0206,孤立,200
README_zh.md,+0.0289,孤立,200
README_zh.md,+0.0006,孤立,200
README_zh.md,71%,孤立,200
README.md,2.8%,可核而未核,400
README.md,0.14%,可核而未核,400
README.md,49%,可核而未核,400
README.md,0.869%,孤立,400
README.md,+0.609,孤立,400
README.md,+0.892,孤立,400
README.md,+0.432,孤立,400
README.md,+0.1185,可核而未核,400
README.md,+0.6785,可核而未核,400
README.md,+0.7826,可核而未核,400
README.md,+0.4290,可核而未核,400
README.md,+0.6429,可核而未核,400
README.md,+0.5778,孤立,400
README.md,+0.5631,孤立,400
README.md,−0.1086,孤立,400
README.md,+0.1286,孤立,400
README.md,20,孤立,400
README.md,59.6%,可核而未核,400
README.md,18.9%,可核而未核,400
README.md,28.9%,可核而未核,400
README.md,37.1%,可核而未核,400
README.md,28.2%,可核而未核,400
README.md,−0.00042,已核,400
README.md,+0.5316,孤立,400
README.md,+0.3382,可核而未核,400
README.md,+0.0454,可核而未核,400
README.md,−0.1229,孤立,400
README.md,+0.9039,可核而未核,400
README.md,−0.2270,可核而未核,400
README.md,84.3%,孤立,400
README.md,−18.5%,孤立,400
